Date,WTI,Gold,S&P500,USDI,EPU_News_Based_Policy_Uncert_Index,OPU
1/10/2004,14.51878917,2.425807153,1.391695588,-2.844563999,118.3414529,300.8111757
1/11/2004,-9.200302507,5.086381732,3.786877946,-3.707015951,96.69576749,242.9682421
1/12/2004,-11.18934796,-2.795544848,3.194249119,-1.192612648,66.53287701,163.9346444
1/01/2005,7.789230298,-3.677235009,-2.561574797,3.344793407,66.73432811,104.6638815
1/02/2005,2.383827678,3.029687355,1.872693487,-1.312402197,51.69568735,126.6007517
1/03/2005,12.41325565,-1.659625857,-1.930275225,1.861133146,49.30863987,161.3871275
1/04/2005,-2.366202617,1.489608585,-2.031351935,0.43919591,78.39587328,213.7168879
1/05/2005,-6.242913358,-4.114493267,2.951222339,3.868302729,75.09076519,133.5141418
1/06/2005,12.13665908,4.199538035,-0.014268748,1.526574566,82.00558946,164.1735997
1/07/2005,4.245592377,-1.167036181,3.533645186,0.268967998,71.93954706,174.6210429
1/08/2005,10.14858981,1.167036181,-1.128546797,-2.000858023,59.61723244,269.7699877
1/09/2005,0.919264938,7.500196809,0.692490743,2.190940263,105.7698564,349.4988938
1/10/2005,-5.003388374,-0.845512609,-1.789999431,0.612508179,79.82999973,167.6514809
1/11/2005,-6.748229718,5.976440671,3.458123768,1.651656132,60.06785223,205.9880222
1/12/2005,1.919705602,4.697091583,-0.095285001,-0.437781152,70.02675641,131.3002012
1/01/2006,9.740365337,9.458981362,2.514796123,-2.453906509,75.07923787,136.6577148
1/02/2006,-6.105403777,-1.273564574,0.045299406,1.284431574,69.49174528,119.9977308
1/03/2006,2.039739873,3.824457703,1.100384236,-0.422598494,55.00807288,80.32809052
1/04/2006,10.25106717,11.45700973,1.211326528,-4.11796126,81.65172365,198.2923054
1/05/2006,1.77776139,-1.663880629,-3.140491359,-1.627384741,67.80979905,161.3901966
1/06/2006,0.028188866,-4.870472429,0.008660429,0.588444678,82.58628252,118.7178784
1/07/2006,4.747400341,3.443530797,0.507292419,0.093830643,84.47445648,108.3526415
1/08/2006,-1.844620321,-1.217632446,2.105112459,-0.293513566,71.5150949,261.8485634
1/09/2006,-13.42943706,-4.669473788,2.42693762,1.075907934,61.75134643,162.66834
1/10/2006,-8.134829315,1.377729486,3.102183692,-0.758950458,55.62951083,184.8113028
1/11/2006,0.828757386,6.648395693,1.633250512,-2.853260604,49.59913099,159.2080661
1/12/2006,4.38290907,-1.789791765,1.253683592,0.960161001,51.03903886,179.9727642
1/01/2007,-12.81338578,2.542772657,1.396117252,1.057456536,74.51002654,167.6932902
1/02/2007,8.245026095,2.531972164,-2.208830566,-1.236785892,50.86002527,143.9178863
1/03/2007,2.170006698,-0.952352442,0.993048392,-0.768772555,72.52986574,134.529083
1/04/2007,5.477961433,2.183639322,4.237983624,-1.800754342,59.84139351,54.54014666
1/05/2007,-0.800443731,-2.583775751,3.203072375,1.038177263,71.13732015,104.0638284
1/06/2007,6.142147152,-1.72444377,-1.797693082,-0.462794639,68.75923281,112.5117731
1/07/2007,9.466331438,2.109509744,-3.250450084,-1.413755184,44.78275066,104.4971607
1/08/2007,-2.442640376,1.421647587,1.278155907,0.024758604,90.00729662,73.12212721
1/09/2007,9.908308333,10.04301048,3.516828364,-3.874057098,109.8926555,125.9319065
1/10/2007,7.551892603,6.767497616,1.471355779,-1.608335577,90.64007585,127.4516674
1/11/2007,9.319869253,-1.684543665,-4.504278937,-0.43241894,106.5661652,138.9467751
1/12/2007,-3.101939068,6.274869709,-0.86659298,0.706624244,116.9908972,116.8602754
1/01/2008,1.321223465,10.47101123,-6.31139096,-1.988608364,177.0422066,142.1109234
1/02/2008,2.549261788,4.938572648,-3.537970784,-1.974676293,108.3147367,65.16988582
1/03/2008,10.17251796,-6.016070961,-0.597741224,-2.625399915,114.4745761,142.2051116
1/04/2008,6.429573873,-5.010423019,4.645093966,0.984000733,98.19769865,161.2418415
1/05/2008,10.78536298,1.814766646,1.061758665,0.508976957,88.67343413,202.4469935
1/06/2008,6.58883952,4.216960339,-8.988355043,-0.577956748,89.13688333,367.7315075
1/07/2008,-0.366533679,-1.223539558,-0.990830049,1.057048761,115.1027243,360.3197083
1/08/2008,-13.48169051,-9.52773522,1.211679746,5.51231762,81.16307827,272.5148507
